"";"GSM3143969_Infection_tot_rep1.CEL";"GSM3143970_Infection_tot_rep2.CEL";"GSM3143971_Infection_tot_rep3.CEL";"GSM3143972_Ctl_tot_rep1.CEL";"GSM3143973_Ctl_tot_rep2.CEL";"GSM3143974_Ctl_tot_rep3.CEL";"GSM3143975_Infection_poly_rep1.CEL";"GSM3143976_Infection_poly_rep2.CEL";"t";"P.Value";"adj.P.Val";"B"
"16652193";4,79942550151969;3,87513725848758;4,2143714689562;5,16141868318209;4,49372326085985;4,41109925864447;3,90335607219807;4,32297977855625;4,71290745018206;0,000505895527453681;0,0422875142851942;0,134635804905983
"16652211";3,68326737609736;2,11908237972903;3,71625065454308;5,55661993545607;4,49952134308106;3,80354314987702;2,52007624822694;1,749529227238;4,21485147106671;0,00120522984489322;0,0488764164565937;-0,681752658837202
"16652243";8,77323593249426;8,69345564387694;8,27445650370126;7,28679570111616;7,79475785940224;7,67464609811058;7,88505604060619;7,75107705919708;3,74453563634724;0,00280847851235132;0,0645167799983084;-1,54623662663577
"16652323";8,94608429984988;8,35721489706019;7,42726470587197;8,38585576615534;8,70096088642361;6,21610600303118;5,75845106526339;5,48557807247574;4,65680465544741;0,000556981531751522;0,0441423746226879;0,0476620700587684
"16652333";6,06454566487748;5,647419267784;5,25545675309838;4,94171666406827;4,1430078153957;5,0863496839669;4,72241862024065;3,70128337719834;3,72350902362472;0,0029181930826333;0,0662792067321889;-1,50520982926189
"16652347";3,33531617059087;3,64524836773295;3,59816314837298;5,89468405928431;4,85355123120871;4,27352919586306;3,75048762343667;4,44733897386546;-3,95113901369256;0,00193138629177334;0,0538082713773429;-1,18581619990965
"16652365";5,64362313462735;4,8496891882209;5,49062603121079;5,34177100482876;5,80619776629715;4,65570457385516;4,54097635187943;4,10741109205406;3,84153798285663;0,00235456781360481;0,0596832627609838;-1,3135094689611
"16652451";4,93919689593583;5,65572625431056;5,35350552968644;3,77479272251385;4,3421662134043;5,56155400590216;3,74157000763439;3,42337124441566;5,34321510213641;0,000176791517886539;0,00481746596039632;1,02564273163029
"16652491";4,84326590564049;4,87655253399871;5,5712066493098;4,92146263312656;4,66008322057949;6,14245565976229;7,10207214935658;7,41967710480207;-6,16112324971163;4,90825765645309e-05;0,0300369421283092;2,28035213257631
"16652557";4,60519707702985;5,76040959233946;6,00798385589555;2,74807191844072;2,81311851684455;2,35961029234835;5,39855413860461;4,34671730357513;5,54249727704585;0,000128264118552183;0,00421003356933723;1,34424582970204
