"ID_REF"	"GSM3143969"	"GSM3143970"	"GSM3143971"	"GSM3143972"	"GSM3143973"	"GSM3143974"	"GSM3143975"	"GSM3143976"	"GSM3143977"	"GSM3143978"	"GSM3143979"	"GSM3143980"
"100036565_at"	-0.080485154	0.00417461	-0.092700158	0.067321574	0.118928954	0.120756548	-0.139169878	-0.153894552	-0.034899292	-0.035524384	-0.007979976	-0.102481084
"100036566_at"	0.134761592	-0.0440029	-0.275273046	-0.192999694	-0.004789322	-0.088453844	-0.249510924	-0.223700922	-0.200469104	-0.222503152	-0.120185752	-0.158383254
"100037417_at"	0.680667206	0.757506785	0.880207325	0.91524524	0.61182305	0.873034186	0.861136584	0.825848171	0.84076684	0.917276093	0.800111769	0.939784969
"100038246_at"	-0.080057162	-0.080115006	-0.150308013	-0.029870208	-0.124499871	0.020941087	0.009296443	-0.004440025	-0.068974626	-0.014826496	-0.069079544	-0.132119095
"10003_at"	-0.194666775	-0.151514828	0.010895019	-0.116909466	-0.045982891	-0.054216773	0.009944133	0.048093563	0.018392231	-0.114795398	-0.143986988	-0.132667187
"100048912_at"	0.239188699	0.370673216	0.30856698	0.288972717	0.489091828	0.663481544	0.538893763	0.526060507	0.391672646	0.713953061	0.638824107	0.873076467
"100049587_at"	-0.149832517	-0.123066247	-0.003358991	-0.136029738	-0.025269435	-0.101125258	0.036024848	-0.012244192	-0.180246903	-0.070982106	0.025781027	-0.016106384
"100049716_at"	0.132698967	0.137132592	0.098865582	0.154885052	0.047587502	0.323370465	0.400586975	0.364021247	0.30367844	0.496666794	0.256137852	0.534110697
"10004_at"	-0.039153723	0.004877908	-0.075915469	-0.027649518	0.0022648	0.023885021	0.007383657	0.041115466	0.069835573	0.036036256	-0.032404807	0.045486338
"10005_at"	0.062329489	0.258567154	0.153811566	0.212834471	0.217405554	0.249012616	0.240917819	0.195141724	0.204686898	0.667803824	0.459776415	0.501760739
"10006_at"	1.292666123	1.515871462	2.225555432	1.457704279	1.341914132	2.252959796	2.027460461	2.061766391	2.538209373	2.071550489	2.107534265	2.263962386
"100073347_at"	-0.003695222	0.048828948	-0.062171522	0.139541653	0.037280406	0.126050447	0.027144151	-0.041708546	-0.038692009	-0.004481256	0.009727609	0.012169357
"10007_at"	0.16278479	0.172911872	0.383249854	0.203667645	0.094822981	0.339876118	0.314082131	0.347993931	0.384031488	0.719304386	0.503598114	0.52101146
"10008_at"	-0.183731564	-0.189125245	-0.087231335	0.053680328	-0.150730636	-0.134702628	-0.289731661	-0.142846153	-0.092893449	-0.193295019	-0.237945598	-0.285126578
"100093630_at"	3.555738884	2.836694253	3.154668921	2.765524695	2.996237636	2.867775846	2.380380279	2.386369133	2.575638522	2.801218316	2.695981668	2.613980092
"100093698_at"	-0.092423748	-0.079154536	-0.029969892	-0.1972215	-0.046545175	-0.186372903	-0.143212877	-0.219044761	-0.189680197	-0.136248995	-0.161191174	-0.075950613
"10009_at"	1.212456251	1.200574318	1.20186882	1.208888113	1.299543076	1.216808845	1.298230148	1.219094555	1.170474888	1.303482469	1.238351555	1.144054541
"1000_at"	1.467562012	1.515584166	1.301753598	1.215650026	1.240874672	0.970347807	1.449806852	1.37847065	1.175899989	1.076495856	1.022496185	0.884014633
"100101266_at"	-0.036555483	-0.221294984	-0.037139558	-0.204253208	-0.136791603	0.095006816	-0.15610134	-0.003841312	0.005782117	-0.17667284	-0.148997338	0.055711989
"100101467_at"	-0.125799141	0.120590414	0.209316136	0.158461545	0.092803623	0.240678803	0.376893408	0.249457157	0.262214902	0.279400772	0.292974857	0.556372351
"100101490_at"	0.989337634	1.094214317	0.947258648	0.68165272	0.476168211	0.791361352	1.128258958	1.453536926	1.324739297	1.223564009	0.967519416	1.651208313
